,Close,MA_20,StdDev,Upper_Band,Lower_Band,TP,SMA,MAD,CCI,Decision
2023-06-18,89.55899810791016,88.66895446777343,0.48184858900396116,89.63265164578135,87.70525728976551,89.55899810791016,88.66895446777343,0.3654309082031233,162.37335524667722,NEUTRAL
2023-06-19,89.40399932861328,88.66680450439453,0.47827700774473203,89.623358519884,87.71025048890507,89.40399932861328,88.66680450439453,0.36263595581054775,135.52523081924812,NEUTRAL
2023-06-20,89.45500183105469,88.68330459594726,0.5001102972947157,89.6835251905367,87.68308400135783,89.45500183105469,88.68330459594726,0.38408607482910073,133.94519018526282,NEUTRAL
2023-06-21,89.98899841308594,88.7408546447754,0.5788719605055072,89.89859856578641,87.58311072376438,89.98899841308594,88.7408546447754,0.45890113830566576,181.32355230422567,SELL
2023-06-22,89.7229995727539,88.79445457458496,0.6183951264055744,90.03124482739611,87.55766432177381,89.7229995727539,88.79445457458496,0.5142356872558593,120.37865401420436,NEUTRAL
2023-06-25,89.2249984741211,88.86769943237304,0.5746405431039207,90.01698051858088,87.71841834616521,89.2249984741211,88.86769943237304,0.491369705200195,48.47660705258961,NEUTRAL
2023-06-26,89.38099670410156,88.91804924011231,0.5732206684965792,90.06449057710547,87.77160790311915,89.38099670410156,88.91804924011231,0.4978596496582043,61.99169642918167,NEUTRAL
2023-06-27,89.77899932861328,88.97369918823242,0.6008250838630234,90.17534935595846,87.77204902050637,89.77899932861328,88.97369918823242,0.5338697052001947,100.56138324098977,NEUTRAL
2023-06-28,89.4800033569336,89.03154945373535,0.5904870299429643,90.21252351362128,87.85057539384943,89.4800033569336,89.03154945373535,0.5266498565673828,56.76812878056412,NEUTRAL
2023-06-29,89.10299682617188,89.06419944763184,0.5744748030038694,90.21314905363957,87.9152498416241,89.10299682617188,89.06419944763184,0.4978796005249023,5.195014818728053,NEUTRAL
2023-07-02,88.01300048828125,89.05809936523437,0.585404586812423,90.22890853885922,87.88729019160952,88.01300048828125,89.05809936523437,0.5045896911621099,-138.07903665863302,NEUTRAL
2023-07-03,89.35199737548828,89.11079940795898,0.560279342523283,90.23135809300554,87.99024072291242,89.35199737548828,89.11079940795898,0.47151969909668023,34.10221149351492,NEUTRAL
2023-07-04,89.1240005493164,89.15749931335449,0.5167222344919972,90.1909437823385,88.12405484437049,89.1240005493164,89.15749931335449,0.4201498031616211,-5.315368278331242,NEUTRAL
2023-07-05,89.35900115966797,89.20649948120118,0.4844722330753663,90.17544394735191,88.23755501505045,89.35900115966797,89.20649948120118,0.381499786376952,26.64950001939756,NEUTRAL
